name,type,USasset,action,location,group
ORIFICE33@17312-17313,orifice,17311,1,CC Forebay,1
PUMP44@5220-5219,pump,5220,1,Freud Storm PS,1
PUMP34@5010-5009,pump,5010,1,"CC PS, to RTB",1
PUMP33@5010-5005,pump,5010,1,"CC PS, to DRI",2
PUMP38@2909-5007,pump,2909,1,CC RTB Dewatering,2
PUMP13@1700-1695,pump,1700,1,Fairview PS,3
ISD002_DOWN,orifice,1509,0,ISD002,4
ISD003_DOWN,orifice,RC1954,0,ISD003,4
ISD004_DOWN,orifice,1520,0,ISD004,4
ISD005_DOWN,orifice,2020,0,ISD005,5
ISD006_DOWN,orifice,2150,0,ISD006,6
ISD007_DOWN,orifice,2180,0,ISD007,6
ISD008_DOWN,orifice,2190,0,ISD008,6
ISD009_DOWN,orifice,2198,0,ISD009,6
ISD010_DOWN,orifice,2220,0,ISD010,6
ISD011_DOWN,orifice,2750,0,ISD011,7
ISD012_DOWN,orifice,2525,0,ISD012,7
ISD013_DOWN,orifice,2360,0,ISD013,7
