name,type,DScp,measure,beta,uparam,location,group,flood_el
1509,link,ISD002_DOWN,depth,1,1,ISD002,1,500
RC1954,link,ISD003_DOWN,depth,1,1,ISD003,1,500
1520,link,ISD004_DOWN,depth,1,1,ISD004,1,500
2020,link,ISD005_DOWN,depth,1,1,ISD005,2,500
2150,link,ISD006_DOWN,depth,1,1,ISD006,3,500
2180,link,ISD007_DOWN,depth,1,1,ISD007,3,500
2190,link,ISD008_DOWN,depth,1,1,ISD008,3,500
2198,link,ISD009_DOWN,depth,1,1,ISD009,3,500
2220,link,ISD010_DOWN,depth,1,1,ISD010,3,500
2750,link,ISD011_DOWN,depth,1,1,ISD011,4,500
2525,link,ISD012_DOWN,depth,1,1,ISD012,4,500
2360,link,ISD013_DOWN,depth,1,1,ISD013,4,500
