[JUNCTIONS]
;;Name           Elevation  MaxDepth   InitDepth  SurDepth   Aponded   
;;-------------- ---------- ---------- ---------- ---------- ----------
1002             546.17     38.09      0          0          0         
10030            560.56     22.9       0          0          0         
1006             546.66     45.4       0          0          0         
100710           563.56     28         0          0          0         
100715           564        25.76      0          0          0         
;9/15/09 No Inflow (Deadend)
100725           567.28     24.88      0          0          0         
100730           568.33     24.93      0          0          0         
1010             547.02     44.54      0          0          0         
;GDRSS Level 3.0 Outfall Representation: Cary Outfall (B44)
;(9/12/96)
10111            574.06     17.5       0          0          0         
1014             547.74     40.82      0          0          0         
1018             548.54     40.42      0          0          0         
101905           572.75     18.31      0          0          0         
101910           573.58     17.28      0          0          0         
101917           571.01     19.15      0          0          0         
101920           575.51     13.55      0          0          0         
101925           577.17     10.59      0          0          0         
101926           569.28     20.98      0          0          0         
101927           568.36     19.9       0          0          0         
101930           567.94     21.12      0          0          0         
101935           569.32     21.64      0          0          0         
101940           577.63     14.13      0          0          0         
101947           571.13     18.13      0          0          0         
1022             548.75     39.71      0          0          0         
1024             549.26     36.8       0          0          0         
102505           563.07     23.69      0          0          0         
102510           564.1      25.76      0          0          0         
1028             549.71     38.05      0          0          0         
1030             550.01     36.85      0          0          0         
103105           574.2      13.26      0          0          0         
103110           576.66     10.6       0          0          0         
103112           566.07     21.19      0          0          0         
103114           568.36     20.8       0          0          0         
103115           577.09     12.07      0          0          0         
103120           559.46     29.2       0          0          0         
103122           573.94     14.72      0          0          0         
103125           563.82     22.94      0          0          0         
103130           565.14     23.42      0          0          0         
103140           565.2      23.36      0          0          0         
103145           566.46     25.8       0          0          0         
103155           576.65     12.01      0          0          0         
103160           577.1      16.46      0          0          0         
103170           573.91     12.85      0          0          0         
103175           575.19     10.77      0          0          0         
103180           576.84     21.22      0          0          0         
1034             550.3      35.16      0          0          0         
;GDRSS Level 3.0 Outfall Representation: junction Outfall
;(B39) (9/13/96)
10351            563.76     66         0          0          0         
103510           561.88     25.88      0          0          0         
10352            561.56     68.2       0          0          0         
1038             550.33     33.93      0          0          0         
103905           572.14     16.32      0          0          0         
103910           572.26     21.5       0          0          0         
103915           573.08     16.78      0          0          0         
103920           574.2      20.46      0          0          0         
1042             550.45     31.91      0          0          0         
10442            567.96     36.8       0          0          0         
;9/15/09 No Inflow (deadend)
1046             550.51     30.95      0          0          0         
1048             568.06     36.7       0          0          0         
1050             550.7      29.26      0          0          0         
105105           573.6      11.66      0          0          0         
105120           574.74     14.22      0          0          0         
105125           574.88     16.38      0          0          0         
105130           576.04     19.52      0          0          0         
105135           576.68     19.68      0          0          0         
1054             551.1      30.66      0          0          0         
105505           573.16     12.3       0          0          0         
105510           574.33     14.53      0          0          0         
105515           575.27     11.59      0          0          0         
105520           575.58     13.28      0          0          0         
105525           577.5      16.86      0          0          0         
105535           582.43     13.83      0          0          0         
105540           582.46     13.8       0          0          0         
105542           568.27     27.19      0          0          0         
105550           585.15     14.11      0          0          0         
105555           585.19     14.07      0          0          0         
105557           571.63     27.53      0          0          0         
1058             551.81     27.55      0          0          0         
105905           576.46     16         0          0          0         
;GDRSS Level 3.0 Outfall Representation: Swain Outfall(B33)
;(9/13/96)
10601            572.56     32.2       0          0          0         
1062             552.05     29.71      0          0          0         
1066             552.36     34.7       0          0          0         
106705           573.46     15.6       0          0          0         
106710           573.76     21         0          0          0         
106715           574.25     15.21      0          0          0         
;changed per survey of outfalls (5/07)
10672            569.83     34.93      0          0          0         
106720           575.26     18.7       0          0          0         
106725           576.09     18.57      0          0          0         
106730           576.84     18.62      0          0          0         
106735           578.71     20.55      0          0          0         
106740           581.9      16.76      0          0          0         
106745           581.93     16.73      0          0          0         
106747           572.22     26.24      0          0          0         
106750           575.68     17.98      0          0          0         
106755           578.67     18.69      0          0          0         
106760           580.03     18.33      0          0          0         
106765           580.06     18.3       0          0          0         
106767           570.19     28.17      0          0          0         
106775           579.16     17.8       0          0          0         
106780           581.34     15.92      0          0          0         
106785           581.37     15.89      0          0          0         
106787           569.49     28.07      0          0          0         
106790           581.52     16.04      0          0          0         
106795           584.38     16.08      0          0          0         
106800           584.43     16.03      0          0          0         
106802           573.96     26.5       0          0          0         
106805           580.42     17.74      0          0          0         
106810           584.71     18.95      0          0          0         
106815           584.76     18.9       0          0          0         
106817           575.45     28.21      0          0          0         
