[ORIFICES]
;;Name           From Node        To Node          Type         Offset     Qcoeff     Gated    CloseTime 
;;-------------- ---------------- ---------------- ------------ ---------- ---------- -------- ----------
ISD001_DOWN      1212             12123            SIDE         0          1          NO       0         
ISD001_UP        1212             12124            SIDE         0          1          NO       0         
ISD002_DOWN      1504             15031            SIDE         0          1          NO       0         
ISD002_UP        1504             15032            SIDE         0          1          NO       0         
ISD003_DOWN      1952             19523            SIDE         0          1          NO       0         
ISD003_UP        1952             19521            SIDE         0          1          NO       0         
ISD004_DOWN      1516             15164            SIDE         0          1          NO       0         
ISD004_UP        1516             15163            SIDE         0          1          NO       0         
ISD005_DOWN      2010             20103            SIDE         0          1          NO       0         
ISD005_UP        2010             20104            SIDE         0          1          NO       0         
ISD006_DOWN      2145             21454            SIDE         0          1          NO       0         
ISD007_DOWN      2170             21703            SIDE         0          1          NO       0         
ISD008_DOWN      2185             21859            SIDE         0          1          NO       0         
ISD009_DOWN      2195             21954            SIDE         0          1          NO       0         
ISD010_DOWN      22201            22204            SIDE         0          1          NO       0         
;* CME2 (ISD012)
ISD011_DOWN      2745             27453            SIDE         0          1          NO       0         
ISD011_UP        2745             27454            SIDE         0          1          NO       0         
ISD012_DOWN      25250            25254            SIDE         0          1          NO       0         
;* SIX2 (ISD013)
ISD012_UP        25250            25253            SIDE         0          1          NO       0         
ISD013_DOWN      2355             23554            SIDE         0          1          NO       0         
;* SEV3 (ISD014)
ISD013_UP        2355             23553            SIDE         0          1          NO       0.5       
ISDDR02_DOWN     1925             19202            SIDE         0          1          NO       0         
ISDDR02_UP       1925             19201            SIDE         0          1          NO       0         
OR1              5801             J1               SIDE         0          0.65       NO       0         
ORIFICE19@19401-19400 19401            19400            SIDE         0.000000   1.000000   NO       0.500000  
;Conner Basin
ORIFICE22@2909-2999 2909             2999             SIDE         0.000000   1.000000   NO       0.010000  
;Baby Creek VR-7
ORIFICE26@1791-1789 1791             1789             SIDE         0.000000   1.000000   NO       0.010000  
;St. Aubin
ORIFICE27@16441-16447 16441            16447            SIDE         0.000000   0.600000   NO       0.500000  
;Leib- Regulator
ORIFICE28@1667-2703 1667             2703             SIDE         0.000000   0.600000   NO       0.500000  
;Leib d/s Regulator
ORIFICE29@2701-2702 2701             2702             SIDE         0.000000   0.600000   NO       0.500000  
;Roller Gate representation
ORIFICE33@17312-17313 17312            17313            SIDE         0.000000   1.000000   NO       0.00000  
;Edited: 6/01 WT tg Added Orifice to Represent Dewatering
;system to NWI-Puritan/Fenkell
ORIFICE34@6167-61671 6167             61671            SIDE         0.000000   0.600000   NO       0.500000  
ORIFICE35@6166-61661 6166             61661            SIDE         0.000000   0.600000   NO       0.500000  
ORIFICE36@6156-61561 6156             61561            SIDE         0.000000   0.600000   NO       0.500000  
ORIFICE37@6136-61361 6136             61361            SIDE         0.000000   0.600000   NO       0.500000  
ORIFICE38@82055-82061 82055            82061            BOTTOM       0.000000   1.000000   NO       0.500000  
ORIFICE39@8205-8200 8205             8200             SIDE         0.000000   1.000000   NO       0.500000  
ORIFICE40@8205-8103 8205             8103             SIDE         0.000000   1.000000   NO       0.500000  
RC102051A        RC102051A        RC82051          SIDE         0.000000   0.600000   YES      0         
RC102052A        RC102052A        RC82052          SIDE         0.000000   0.600000   YES      0         
RC102053A        RC102053A        RC82053          SIDE         0.000000   0.600000   YES      0         
RC1127A          RC1127A          1125             SIDE         0.000000   0.600000   YES      0         
RC1132A          RC1132A          1130             SIDE         0.000000   0.600000   YES      0         
RC1157A          RC1157A          1150             SIDE         0.000000   0.600000   YES      0         
RC1172A          RC1172A          1150             SIDE         0.000000   0.600000   YES      0         
RC19524A         RC19524A         1515             SIDE         0.000000   0.600000   YES      0         
RC1954A          RC1954A          1952             SIDE         0.000000   0.600000   YES      0         
RC20600A         RC20600A         2985             SIDE         0.000000   0.600000   YES      0         
RC20630A         RC20630A         640              SIDE         0.000000   0.600000   YES      0         
RC20650A         RC20650A         650              SIDE         0.000000   0.600000   YES      0         
RC21000A         RC21000A         1000             SIDE         0.000000   0.600000   YES      0         
RC21003A         RC21003A         1003             SIDE         0.000000   0.600000   YES      0         
RC21011A         RC21011A         1011             SIDE         0.000000   0.600000   YES      0         
RC21031A         RC21031A         103145           SIDE         0.000000   0.600000   YES      0         
RC21035A         RC21035A         103185           SIDE         0.000000   0.600000   YES      0         
RC21039A         RC21039A         730              SIDE         0.000000   0.600000   YES      0         
RC21051A         RC21051A         20111            SIDE         0.000000   0.600000   YES      0         
RC21063A         RC21063A         1063             SIDE         0.000000   0.600000   YES      0         
RC21075A         RC21075A         107555           SIDE         0.000000   0.600000   YES      0         
RC21081A         RC21081A         108150           SIDE         0.000000   0.600000   YES      0         
RC21093A         RC21093A         1093             SIDE         0.000000   0.600000   YES      0         
RC21185A         RC21185A         1185             SIDE         0.000000   0.600000   YES      0         
RC21187A         RC21187A         1190             SIDE         0.000000   0.600000   YES      0         
RC21188A         RC21188A         1320             SIDE         0.000000   0.600000   YES      0         
RC21215A         RC21215A         1215             SIDE         0.000000   0.600000   YES      0         
RC21220A         RC21220A         1220             SIDE         0.000000   0.600000   YES      0         
RC21225A         RC21225A         1225             SIDE         0.000000   0.600000   YES      0         
RC21230A         RC21230A         1230             SIDE         0.000000   0.600000   YES      0         
RC21310A         RC21310A         1310             SIDE         0.000000   0.600000   YES      0         
RC21320A         RC21320A         1320             SIDE         0.000000   0.600000   YES      0         
RC21335A         RC21335A         1335             SIDE         0.000000   0.600000   YES      0         
RC21345A         RC21345A         1345             SIDE         0.000000   0.600000   YES      0         
RC21535A         RC21535A         1535             SIDE         0.000000   0.600000   YES      0         
RC21545A         RC21545A         1546             SIDE         0.000000   0.600000   YES      0         
RC21550A         RC21550A         1550             SIDE         0.000000   0.600000   YES      0         
RC21570A         RC21570A         1570             SIDE         0.000000   0.600000   YES      0         
RC21571A         RC21571A         1570             SIDE         0.000000   0.600000   YES      0         
RC2160120A       RC2160120A       2125             SIDE         0.000000   0.600000   YES      0         
RC2160121A       RC2160121A       160121           SIDE         0.000000   0.600000   YES      0         
RC2160123A       RC2160123A       160123           SIDE         0.000000   0.600000   YES      0         
RC2160145A       RC2160145A       160145           SIDE         0.000000   0.600000   YES      0         
RC2160160A       RC2160160A       160160           SIDE         0.000000   0.600000   YES      0         
RC2160161A       RC2160161A       160161           SIDE         0.000000   0.600000   YES      0         
RC2160170A       RC2160170A       160171           SIDE         0.000000   0.600000   YES      0         
RC2160175A       RC2160175A       160175           SIDE         0.000000   0.600000   YES      0         
RC2160180A       RC2160180A       160180           SIDE         0.000000   0.600000   YES      0         
RC21601A         RC21601A         1601             SIDE         0.000000   0.600000   YES      0         
RC2160500A       RC2160500A       160500           SIDE         0.000000   0.600000   YES      0         
RC2160520A       RC2160520A       160520           SIDE         0.000000   0.600000   YES      0         
RC2160530A       RC2160530A       160530           SIDE         0.000000   0.600000   YES      0         
RC2160540A       RC2160540A       160540           SIDE         0.000000   0.600000   YES      0         
RC2160555A       RC2160555A       160555           SIDE         0.000000   0.600000   YES      0         
RC2160570A       RC2160570A       160570           SIDE         0.000000   0.600000   YES      0         
RC21605A         RC21605A         1605             SIDE         0.000000   0.600000   YES      0         
RC2160900A       RC2160900A       160900           SIDE         0.000000   0.600000   YES      0         
RC2160910A       RC2160910A       160910           SIDE         0.000000   0.600000   YES      0         
RC21609A         RC21609A         1609             SIDE         0.000000   0.600000   YES      0         
RC2161300A       RC2161300A       161300           SIDE         0.000000   0.600000   YES      0         
RC2161330A       RC2161330A       161330           SIDE         0.000000   0.600000   YES      0         
RC2161360A       RC2161360A       161360           SIDE         0.000000   0.600000   YES      0         
RC2161370A       RC2161370A       161370           SIDE         0.000000   0.600000   YES      0         
RC2161380A       RC2161380A       161380           SIDE         0.000000   0.600000   YES      0         
RC2161385A       RC2161385A       161385           SIDE         0.000000   0.600000   YES      0         
RC21613A         RC21613A         1613             SIDE         0.000000   0.600000   YES      0         
RC2161420A       RC2161420A       161420           SIDE         0.000000   0.600000   YES      0         
RC2161430A       RC2161430A       161430           SIDE         0.000000   0.600000   YES      0         
RC2161460A       RC2161460A       161460           SIDE         0.000000   0.600000   YES      0         
RC2161710A       RC2161710A       161710           SIDE         0.000000   0.600000   YES      0         
RC2161716A       RC2161716A       161716           SIDE         0.000000   0.600000   YES      0         
RC2161722A       RC2161722A       161722           SIDE         0.000000   0.600000   YES      0         
RC2161726A       RC2161726A       161726           SIDE         0.000000   0.600000   YES      0         
RC2161781A       RC2161781A       161781           SIDE         0.000000   0.600000   YES      0         
RC2161785A       RC2161785A       161785           SIDE         0.000000   0.600000   YES      0         
RC2161791A       RC2161791A       161791           SIDE         0.000000   0.600000   YES      0         
RC2161796A       RC2161796A       161796           SIDE         0.000000   0.600000   YES      0         
RC216210A        RC216210A        16210            SIDE         0.000000   0.600000   YES      0         
RC2162110A       RC2162110A       162110           SIDE         0.000000   0.600000   YES      0         
