[XSECTIONS]
;;Link           Shape        Geom1            Geom2      Geom3      Geom4      Barrels    Culvert   
;;-------------- ------------ ---------------- ---------- ---------- ---------- ---------- ----------
1002             CIRCULAR     16               0          0          0          1          0         
1003             CIRCULAR     1.95             0          0          0          1          0         
10030            CIRCULAR     6.5              0          0          0          1          0         
1004             RECT_CLOSED  6                7.5        0          0          1          0         
10041            RECT_CLOSED  9                10         0          0          1          0         
10042            RECT_CLOSED  7.5              10         0          0          1          0         
1006             CIRCULAR     16               0          0          0          1          0         
1007             CIRCULAR     1.5              0          0          0          1          0         
100710           CIRCULAR     8                0          0          0          1          0         
100715           CIRCULAR     8                0          0          0          1          0         
100725           CIRCULAR     5.75             0          0          0          1          0         
100730           CIRCULAR     5.5              0          0          0          1          0         
1008             RECT_CLOSED  11               14         0          0          1          0         
10081            RECT_CLOSED  8                10.5       0          0          1          0         
1010             CIRCULAR     16               0          0          0          1          0         
1011             CIRCULAR     1.5              0          0          0          1          0         
1012             CIRCULAR     4.8              0          0          0          1          0         
10121            EGG          5.3              0          0          0          1          0         
1014             CIRCULAR     16               0          0          0          1          0         
1018             CIRCULAR     16.5             0          0          0          1          0         
1019             CIRCULAR     3.91             0          0          0          1          0         
101905           CIRCULAR     6.8              0          0          0          1          0         
101910           CIRCULAR     6.8              0          0          0          1          0         
101916           RECT_CLOSED  0.75             8          0          0          1          0         
101917           CIRCULAR     7.3              0          0          0          1          0         
101918           CIRCULAR     6.8              0          0          0          1          0         
101919           CIRCULAR     6.8              0          0          0          1          0         
101920           CIRCULAR     6                0          0          0          1          0         
101925           CIRCULAR     6                0          0          0          1          0         
101926           CIRCULAR     7.5              0          0          0          1          0         
101927           CIRCULAR     8.25             0          0          0          1          0         
101928           RECT_CLOSED  5                3.47       0          0          1          0         
101930           CIRCULAR     8.25             0          0          0          1          0         
101935           CIRCULAR     6.5              0          0          0          1          0         
101940           CIRCULAR     6.5              0          0          0          1          0         
101945           CIRCULAR     6                0          0          0          1          0         
101946           RECT_CLOSED  5                3.21       0          0          1          0         
101947           CIRCULAR     5.5              0          0          0          1          0         
1020             CIRCULAR     6.8              0          0          0          1          0         
10201            RECT_CLOSED  7                7          0          0          1          0         
10202            RECT_CLOSED  9.9              7          0          0          1          0         
10203            RECT_CLOSED  5                7.75       0          0          1          0         
10204            RECT_CLOSED  9                8.5        0          0          1          0         
10205            CIRCULAR     6                0          0          0          1          0         
1022             CIRCULAR     16               0          0          0          1          0         
1024             CIRCULAR     16               0          0          0          1          0         
1025             CIRCULAR     2.52             0          0          0          1          0         
102505           CIRCULAR     10.5             0          0          0          1          0         
102506           CIRCULAR     8.25             0          0          0          1          0         
10251            CIRCULAR     10.5             0          0          0          1          0         
102510           CIRCULAR     10.5             0          0          0          1          0         
10252            RECT_CLOSED  12               13         0          0          1          0         
1026             RECT_CLOSED  14               14         0          0          1          0         
1028             CIRCULAR     16               0          0          0          1          0         
1030             CIRCULAR     16               0          0          0          1          0         
1031             CIRCULAR     3.39             0          0          0          1          0         
103105           CIRCULAR     6.5              0          0          0          1          0         
10311            RECT_CLOSED  6                26         0          0          1          0         
103110           CIRCULAR     6.5              0          0          0          1          0         
103111           CIRCULAR     3                0          0          0          1          0         
103114           CIRCULAR     5.5              0          0          0          1          0         
103115           CIRCULAR     6.25             0          0          0          1          0         
103116           CIRCULAR     5                0          0          0          1          0         
10312            RECT_CLOSED  6.5              26         0          0          1          0         
103120           CIRCULAR     13               0          0          0          1          0         
103122           CIRCULAR     6.25             0          0          0          1          0         
103123           CIRCULAR     3                0          0          0          1          0         
103124           CIRCULAR     8.25             0          0          0          1          0         
103125           CIRCULAR     13               0          0          0          1          0         
103130           CIRCULAR     12               0          0          0          1          0         
103131           CIRCULAR     6.25             0          0          0          1          0         
103140           CIRCULAR     12               0          0          0          1          0         
103145           CIRCULAR     11.5             0          0          0          1          0         
103150           CIRCULAR     6.25             0          0          0          1          0         
103155           CIRCULAR     6.25             0          0          0          1          0         
103156           CIRCULAR     5.5              0          0          0          1          0         
103160           CIRCULAR     5.5              0          0          0          1          0         
103170           CIRCULAR     6.17             0          0          0          1          0         
103175           CIRCULAR     6.17             0          0          0          1          0         
103180           CIRCULAR     5.67             0          0          0          1          0         
103185           CIRCULAR     5                0          0          0          1          0         
103186           CIRCULAR     5                0          0          0          1          0         
1032             CIRCULAR     6.2              0          0          0          1          0         
10321            CIRCULAR     6.3              0          0          0          1          0         
10322            CIRCULAR     6.5              0          0          0          1          0         
1034             CIRCULAR     16               0          0          0          1          0         
1035             CIRCULAR     4.8              0          0          0          1          0         
10351            RECT_CLOSED  13               16         0          0          1          0         
103510           CIRCULAR     13               0          0          0          1          0         
10352            RECT_CLOSED  13.25            16         0          0          1          0         
1036             CIRCULAR     13               0          0          0          1          0         
1038             CIRCULAR     16               0          0          0          1          0         
1039             CIRCULAR     4.37             0          0          0          1          0         
103905           CIRCULAR     9                0          0          0          1          0         
10391            RECT_CLOSED  9                9.5        0          0          1          0         
103910           RECT_CLOSED  8                9          0          0          1          0         
103915           CIRCULAR     9                0          0          0          1          0         
10392            RECT_CLOSED  9                9.5        0          0          1          0         
103920           CIRCULAR     9                0          0          0          1          0         
1040             CIRCULAR     5                0          0          0          1          0         
10401            CIRCULAR     5                0          0          0          1          0         
10402            CIRCULAR     5                0          0          0          1          0         
10403            CIRCULAR     5                0          0          0          1          0         
1042             CIRCULAR     16               0          0          0          1          0         
1043             CIRCULAR     1.5              0          0          0          1          0         
1044             RECT_CLOSED  7.5              9          0          0          1          0         
10441            RECT_CLOSED  5.5              9          0          0          1          0         
10442            CIRCULAR     4.5              0          0          0          2          0         
1046             CIRCULAR     16               0          0          0          1          0         
1047             CIRCULAR     2.2              0          0          0          1          0         
1048             RECT_CLOSED  7                10.5       0          0          1          0         
1050             CIRCULAR     16               0          0          0          1          0         
1051             CIRCULAR     3.39             0          0          0          1          0         
105105           CIRCULAR     6.4              0          0          0          1          0         
10511            RECT_CLOSED  4                9.5        0          0          1          0         
105110           CIRCULAR     6                0          0          0          1          0         
105115           CIRCULAR     5.75             0          0          0          1          0         
10512            RECT_CLOSED  6.5              9.5        0          0          1          0         
105120           RECT_CLOSED  5.5              6          0          0          1          0         
105125           CIRCULAR     5.75             0          0          0          1          0         
105130           CIRCULAR     5.64             0          0          0          1          0         
105135           CIRCULAR     5.44             0          0          0          1          0         
105140           CIRCULAR     5.04             0          0          0          1          0         
1052             CIRCULAR     4.5              0          0          0          1          0         
10522            CIRCULAR     4.5              0          0          0          1          0         
1054             CIRCULAR     16               0          0          0          1          0         
1055             CIRCULAR     2.76             0          0          0          1          0         
105505           CIRCULAR     6.6              0          0          0          1          0         
10551            RECT_CLOSED  4                9.5        0          0          1          0         
105510           CIRCULAR     6.42             0          0          0          1          0         
105515           CIRCULAR     6                0          0          0          1          0         
10552            RECT_CLOSED  7                9.5        0          0          1          0         
105520           RECT_CLOSED  5                7          0          0          1          0         
105525           CIRCULAR     6                0          0          0          1          0         
105530           CIRCULAR     5.17             0          0          0          1          0         
105535           CIRCULAR     4.75             0          0          0          1          0         
105540           CIRCULAR     2.09             0          0          0          1          0         
105541           CIRCULAR     4.03             0          0          0          1          0         
105542           CIRCULAR     9                0          0          0          1          0         
105545           CIRCULAR     4.5              0          0          0          1          0         
105550           CIRCULAR     4.25             0          0          0          1          0         
105555           CIRCULAR     2.04             0          0          0          1          0         
105556           CIRCULAR     4.25             0          0          0          1          0         
105557           CIRCULAR     9.5              0          0          0          1          0         
